Forward Financial Framework Kaiserslatuarn+ Benchmark Results,
CPU,ee-mollie,
Option Number,Simulation Paths,Target 95% CI,95% CI,Total Time,
4,26,0.6,0.591804,9379.00543213,
5,720,0.6,0.605432,86498.4989166,
6,655,0.6,0.59916,54652.2140503,
7,20,0.6,0.0,8348.29807281,
8,237,0.6,0.59449,22398.0665207,
9,159,0.6,0.55673,28027.0576477,
10,42,0.6,0.0,9855.38959503,
12,2,0.6,0.0,7279.4675827,
13,767,0.6,1.319073,44759.7503662,
2,18,0.5,0.0,7380.79547882,
3,58,0.5,0.462547,13362.5268936,
4,37,0.5,0.115752,11401.6532898,
5,1037,0.5,0.494671,115978.121758,
6,943,0.5,0.506961,79881.2150955,
7,25,0.5,0.0,6995.91636658,
8,339,0.5,0.270607,27654.4809341,
9,226,0.5,0.561571,32535.1238251,
10,57,0.5,0.271018,11416.1014557,
12,2,0.5,0.0,7141.97158813,
2,28,0.4,0.683781,11149.1680145,
3,85,0.4,0.058157,14913.4159088,
4,57,0.4,0.432122,12177.5388718,
5,1620,0.4,0.401331,176363.992691,
6,1473,0.4,0.381471,118784.165382,
7,33,0.4,0.0,8242.94090271,
9,348,0.4,0.410383,46491.1937714,
10,85,0.4,0.249928,12609.0764999,
12,3,0.4,0.0,8179.09240723,
13,223,0.4,2.488396,21190.5479431,
2,50,0.3,0.29063,11800.6944656,
3,140,0.3,0.308164,21535.8257294,
4,101,0.3,0.391903,22912.4069214,
5,71,0.3,1.908242,19816.6847229,
6,2619,0.3,0.316263,192007.184029,
7,46,0.3,0.0,9908.41388702,
8,933,0.3,0.307517,64457.9410553,
9,609,0.3,0.261256,72825.3602982,
10,145,0.3,0.0,16329.0023804,
12,6,0.3,0.0,9148.76461029,
2,112,0.2,0.179658,19414.3772125,
3,289,0.2,0.184755,29287.7197266,
4,226,0.2,0.196422,24329.662323,
5,3036,0.2,0.28586,320149.970055,
7,77,0.2,0.0,10778.6178589,
8,2087,0.2,0.20107,134014.892578,
9,1347,0.2,0.187082,151429.581642,
10,309,0.2,0.292721,26424.0026474,
12,12,0.2,0.0,8452.01015472,
