Forward Financial Framework Kaiserslatuarn+ Benchmark Results,
OpenCL_GPU,ee-snowball1,
Option Number,Simulation Paths,Target 95% CI,95% CI,Total Time,
3,1,10.0,nan,152181.67305,
6,21,10.0,5.257807,155024.075508,
3,1,9.0,nan,155922.913551,
6,24,9.0,4.648257,156737.518311,
4,9,8.0,0.0,155417.346954,
6,28,8.0,6.655179,155405.068398,
4,10,7.0,0.0,154457.902908,
6,33,7.0,7.198689,156914.162636,
4,12,6.0,0.0,156305.241585,
6,40,6.0,6.015198,156499.481201,
4,14,5.0,0.0,154580.020905,
6,52,5.0,6.131812,158935.475349,
4,18,4.0,0.0,156389.689445,
6,71,4.0,4.874948,157342.267036,
4,25,3.0,0.0,157114.648819,
6,108,3.0,3.433333,155476.689339,
3,3,2.0,4.790129,157043.147087,
4,40,2.0,0.0,153256.058693,
5,1514,1.0,1.074543,155137.753487,
13,18390,1.0,0.997957,127693.510056,
10,140,0.9,0.0,157459.068298,
11,1695,0.9,0.674226,154701.685905,
5,2247,0.8,0.79755,157077.097893,
10,161,0.8,0.0,156251.66893,
6,1146,0.7,0.719364,157365.298271,
11,2636,0.7,0.587598,157339.382172,
5,3782,0.6,0.595404,157183.480263,
11,3474,0.6,0.492074,153749.585152,
5,5291,0.5,0.495322,157108.187675,
13,72196,0.5,0.500459,182208.251953,
5,8022,0.4,0.393449,157438.063622,
11,7294,0.4,0.350834,156356.430054,
1,433273,0.3,0.508325,89117.6700592,
6,5347,0.3,0.291146,156035.82859,
9,1370,0.3,0.300166,157083.22525,
1,2789572,0.2,0.197924,161448.478699,
6,11506,0.2,0.197095,155180.597305,
9,3081,0.2,0.184721,156049.704552,
5,116895,0.1,0.101615,279944.109917,
6,43888,0.1,0.09434,197912.859917,
9,12323,0.1,0.096604,158746.767044,
11,104847,0.1,0.100537,278262.114525,
5,143947,0.09,0.09164,323489.356041,
6,53915,0.09,0.084766,197816.085815,
9,15214,0.09,0.087632,157257.866859,
11,129141,0.09,0.090886,278248.83461,
5,167830,0.08,0.08485,365460.87265,
6,67897,0.08,0.074047,239447.808266,
8,16771,0.08,0.079143,157568.502426,
9,19255,0.08,0.078271,155741.214752,
11,163148,0.08,0.080816,319921.088219,
1,895408,0.07,0.348693,101034.879684,
5,236950,0.07,0.071322,448894.500732,
6,88239,0.07,0.064717,244851.517677,
8,21521,0.07,0.069557,156274.8909,
9,25149,0.07,0.067863,157446.146011,
11,212862,0.07,0.071542,401785.182953,
1,5713639,0.06,0.13841,250812.673569,
5,322074,0.06,0.060929,534307.909012,
6,119497,0.06,0.056225,282860.159874,
8,28776,0.06,0.059121,156506.228447,
9,34231,0.06,0.058111,198620.843887,
11,289741,0.06,0.061682,485342.073441,
1,13739891,0.05,0.089214,503534.531593,
5,463574,0.05,0.050709,742402.672768,
6,171203,0.05,0.04769,364626.193047,
8,40710,0.05,0.048585,197490.45372,
9,49292,0.05,0.04912,197334.1465,
11,418003,0.05,0.051312,651326.89476,
1,28625514,0.04,0.061807,967484.331131,
5,725171,0.04,0.040681,1077163.57708,
6,266136,0.04,0.038471,493370.771408,
8,62528,0.04,0.038671,196855.092049,
9,77019,0.04,0.038863,239684.486389,
11,656452,0.04,0.040678,981278.204918,
1,52236152,0.03,0.045752,1703381.6576,
3,13241,0.03,0.025245,154460.477829,
5,1294895,0.03,0.030401,1790667.8915,
6,470692,0.03,0.028657,741710.209846,
8,109456,0.03,0.029645,281481.003761,
9,136922,0.03,0.029041,324190.306664,
10,15838,0.03,0.028414,155297.970772,
11,1180631,0.03,0.030361,1642617.10644,
1,197241562,0.02,0.023544,6228463.24444,
4,39188,0.02,0.019812,195153.832436,
5,2950613,0.02,0.020127,3927945.61386,
11,2732318,0.02,0.019965,3581781.00586,
1,777399835,0.01,0.011859,24337967.0382,
2,44327,0.01,0.010406,195012.187958,
3,119169,0.01,0.009475,278575.181961,
4,147564,0.01,0.010092,325124.454498,
5,8805389,0.01,0.01165,11385067.5583,
8,987337,0.01,0.009904,1412634.22966,
9,1232295,0.01,0.009874,1705276.44157,
10,114055,0.01,0.009364,281781.601906,
11,12044383,0.01,0.009517,15321827.4593,
1,958398229,0.009,0.010681,29984696.579,
2,54725,0.009,0.008778,195257.925987,
3,147122,0.009,0.008422,319233.894348,
4,181230,0.009,0.009174,364855.313301,
5,5706842,0.009,0.01447,7445440.74535,
6,5172787,0.009,0.008634,6734666.65745,
8,1225788,0.009,0.008895,1706632.37572,
9,1521352,0.009,0.008898,2082174.65878,
10,139400,0.009,0.008495,324645.137787,
11,15213788,0.009,0.008467,19331974.7925,
1,1210458012,0.008,0.009504,37850363.7314,
2,69261,0.008,0.00763,239564.776421,
3,186201,0.008,0.007481,364085.698128,
4,228286,0.008,0.00819,407667.398453,
5,7451662,0.008,0.012666,9664400.91133,
6,6543356,0.008,0.007682,8492454.14734,
8,1563256,0.008,0.007893,2127047.77718,
9,1925461,0.008,0.007907,2584753.99017,
10,174842,0.008,0.007486,363104.820251,
11,19823691,0.008,0.007418,25117216.5155,
1,1104935305,0.007,0.009948,34560172.3194,
2,90463,0.007,0.006678,236736.798286,
3,243201,0.007,0.006639,443492.054939,
4,296976,0.007,0.007162,532131.934166,
5,26331575,0.007,0.006737,33800604.3196,
6,8541914,0.007,0.00672,11051543.1166,
8,2063407,0.007,0.006864,2754112.45823,
9,2514888,0.007,0.006919,3342375.0639,
10,226679,0.007,0.006669,406822.705269,
11,26900789,0.007,0.006367,34044314.8851,
2,123130,0.006,0.005731,279173.278809,
3,331023,0.006,0.005752,568099.665642,
4,403056,0.006,0.006169,659346.842766,
5,36727736,0.006,0.005705,47085405.5166,
6,11620354,0.006,0.00576,14992371.0823,
8,2850769,0.006,0.005837,3758166.76617,
9,3423041,0.006,0.005932,4511163.68771,
10,307056,0.006,0.005791,532673.716545,
11,38580983,0.006,0.005317,48797883.296,
13,74213237,0.006,0.015661,62133825.922,
2,177307,0.005,0.004739,363010.47802,
3,476673,0.005,0.00484,734272.480011,
4,579813,0.005,0.005094,868407.392502,
5,54767722,0.005,0.004672,70172115.5167,
6,16724464,0.005,0.004802,21529376.3161,
7,26777,0.005,0.006736,153498.578072,
8,4196748,0.005,0.004813,5519025.06351,
9,4929179,0.005,0.004944,6438166.33224,
10,441995,0.005,0.004795,700516.271591,
11,59933470,0.005,0.004266,75744105.196,
12,39429,0.005,0.005005,199560.785294,
13,84932438,0.005,0.014639,71096254.921,
2,277042,0.004,0.003809,486617.159843,
3,744802,0.004,0.003841,1063864.51721,
4,908077,0.004,0.004085,1287071.80023,
5,90302375,0.004,0.003638,115585601.974,
6,26118152,0.004,0.003843,33572589.9458,
7,41839,0.004,0.004312,197679.376602,
8,6789955,0.004,0.003785,8828265.26165,
9,7701843,0.004,0.003957,10004016.304,
10,696009,0.004,0.00386,1035959.67293,
11,105557860,0.004,0.003214,133271134.853,
12,61053,0.004,0.003911,198671.507835,
13,107818223,0.004,0.012993,90226974.4873,
2,492519,0.003,0.002795,778638.887405,
3,1324091,0.003,0.002869,1805947.82829,
4,1629250,0.003,0.003042,2207995.55779,
5,176231768,0.003,0.002604,225481347.036,
6,46407687,0.003,0.002883,59489089.3221,
7,74380,0.003,0.003897,239846.682549,
8,12833051,0.003,0.002752,16539293.2892,
9,13692164,0.003,0.002968,17631346.5834,
10,1268498,0.003,0.002868,1747200.01221,
11,233247100,0.003,0.002163,294292480.969,
12,107550,0.003,0.002937,283748.316765,
13,133300970,0.003,0.011685,111530763.698,
2,1108166,0.002,0.001869,1518415.35568,
3,2979205,0.002,0.001923,3872120.97645,
4,3765032,0.002,0.002002,4931967.09156,
5,389119363,0.002,0.001753,497647660.208,
6,104361971,0.002,0.001922,133569731.259,
7,167354,0.002,0.002427,366278.386116,
8,32921841,0.002,0.001718,42221554.7323,
9,30807369,0.002,0.001979,39541643.6195,
10,3061067,0.002,0.00185,4055672.16873,
11,885344567,0.002,0.00111,1116598495.55,
12,239753,0.002,0.001999,459255.26619,
