Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-benjamin.ee.ic.ac.uk,
Type,Simulation Paths,Accuracy,Latency,
Std Verification,340000,0.042407,1358328.757781,
Mean Verification,350000,0.326872,30869022.250175,
Std Verification,350000,0.034349,773575.349818,
Mean Verification,360000,0.338073,32119787.478447,
Std Verification,360000,0.050907,803088.788993,
Mean Verification,370000,0.324820,32069650.244713,
Std Verification,370000,0.022223,769411.115645,
Mean Verification,380000,0.313842,32814328.765869,
Std Verification,380000,0.029286,526876.516391,
Mean Verification,390000,0.347059,33338928.675652,
Std Verification,390000,0.061381,751269.718149,
Mean Verification,400000,0.308677,34309299.612045,
Std Verification,400000,0.022968,1072976.691358,
Mean Verification,410000,0.309238,35867049.551010,
Std Verification,410000,0.039673,912596.377800,
Mean Verification,420000,0.302795,37249036.574364,
Std Verification,420000,0.033141,1284846.146681,
Mean Verification,430000,0.302260,35943419.694901,
Std Verification,430000,0.033059,739595.991437,
Mean Verification,440000,0.294012,38278032.898903,
Std Verification,440000,0.022805,725910.941206,
Mean Verification,450000,0.289201,38148840.451241,
Std Verification,450000,0.022206,680688.945749,
Mean Verification,460000,0.328769,38979213.953018,
Std Verification,460000,0.129809,702290.109893,
Mean Verification,470000,0.296435,39459287.071228,
Std Verification,470000,0.045449,793506.178705,
Mean Verification,480000,0.302654,41781916.451454,
Std Verification,480000,0.048272,849264.944675,
Mean Verification,490000,0.310148,41206358.933449,
Std Verification,490000,0.032902,810173.367280,
Mean Verification,500000,0.319620,41686182.498932,
Std Verification,500000,0.094445,732132.544926,
Mean Verification,510000,0.281917,43001851.701736,
Std Verification,510000,0.025912,955288.515081,
Mean Verification,520000,0.282702,44237245.368958,
Std Verification,520000,0.037893,914023.936928,
Mean Verification,530000,0.275680,44067757.940292,
Std Verification,530000,0.019251,814233.675370,
Mean Verification,540000,0.274912,45208647.775650,
Std Verification,540000,0.031177,922795.582551,
Mean Verification,550000,0.468763,46879571.557045,
Std Verification,550000,0.490316,946655.977368,
Mean Verification,560000,0.283360,46971308.732033,
Std Verification,560000,0.049193,927263.754152,
Mean Verification,570000,0.267208,48965751.481056,
Std Verification,570000,0.037005,1533567.079200,
Mean Verification,580000,0.251389,49705382.704735,
Std Verification,580000,0.015837,988658.598276,
Mean Verification,590000,0.258657,49342412.972450,
Std Verification,590000,0.024392,1014013.664528,
Mean Verification,600000,0.258073,51906516.909599,
Std Verification,600000,0.023409,1167149.731427,
Mean Verification,610000,0.245275,50926196.026802,
Std Verification,610000,0.017192,1034108.304324,
Mean Verification,620000,0.261098,51415016.436577,
Std Verification,620000,0.040286,1026644.606481,
Mean Verification,630000,0.253589,52059193.873405,
Std Verification,630000,0.024539,994498.691932,
Mean Verification,640000,0.244786,53342140.388489,
Std Verification,640000,0.035400,1010123.317636,
Mean Verification,650000,0.252592,54375754.070282,
Std Verification,650000,0.024452,1026189.070375,
Mean Verification,660000,0.242136,55413874.006271,
Std Verification,660000,0.011512,1964905.034513,
Mean Verification,670000,0.254555,56692831.611633,
Std Verification,670000,0.029054,1858445.256124,
Mean Verification,680000,0.245982,57212989.234924,
Std Verification,680000,0.023802,1079857.631503,
Mean Verification,690000,0.226993,59151748.394966,
Std Verification,690000,0.012154,1840198.754241,
Mean Verification,700000,0.236058,58936643.743515,
Std Verification,700000,0.016918,2047819.544824,
Mean Verification,710000,0.222560,59039573.049545,
Std Verification,710000,0.013434,1108686.299202,
Mean Verification,720000,0.232744,59625405.502319,
Std Verification,720000,0.016601,1115827.074264,
Mean Verification,730000,0.240211,60299335.336685,
Std Verification,730000,0.016287,1060302.434723,
Mean Verification,740000,0.253287,63574963.378906,
Std Verification,740000,0.054585,1157714.134100,
Mean Verification,750000,0.237550,64634805.536270,
Std Verification,750000,0.025614,1230514.553627,
Mean Verification,760000,0.226606,65432760.667801,
Std Verification,760000,0.017655,2099610.440279,
Mean Verification,770000,0.308749,64355336.666107,
Std Verification,770000,0.202624,1136992.454718,
Mean Verification,780000,0.230517,64571865.820885,
Std Verification,780000,0.018953,1099457.609670,
Mean Verification,790000,0.241446,66696209.168434,
Std Verification,790000,0.037735,2160440.699791,
Mean Verification,800000,0.228471,67509593.272209,
Std Verification,800000,0.025617,2169930.383651,
Mean Verification,810000,0.220348,68322419.595718,
Std Verification,810000,0.020259,1308241.382396,
Mean Verification,820000,0.217208,68385886.049271,
Std Verification,820000,0.028564,1468935.198438,
Mean Verification,830000,0.221650,70633447.742462,
Std Verification,830000,0.016651,1295327.391232,
Mean Verification,840000,0.217003,69847919.416428,
Std Verification,840000,0.021062,1286570.748545,
Mean Verification,850000,0.215603,71704161.787033,
Std Verification,850000,0.019492,2771521.169017,
Mean Verification,860000,0.206146,71654588.103294,
Std Verification,860000,0.010278,1238963.855006,
Mean Verification,870000,0.219970,73561341.238022,
Std Verification,870000,0.016459,1469963.716956,
Mean Verification,880000,0.218026,75757246.947289,
Std Verification,880000,0.029009,1487178.612522,
Mean Verification,890000,0.223918,74960059.380531,
Std Verification,890000,0.060281,1434930.724798,
Mean Verification,900000,0.204958,74902691.102028,
Std Verification,900000,0.019119,1247813.959962,
Mean Verification,910000,0.211148,75729099.512100,
Std Verification,910000,0.017532,1191966.231769,
Mean Verification,920000,0.210280,75668326.497078,
Std Verification,920000,0.015773,2589349.976044,
Mean Verification,930000,0.215021,76493592.500687,
Std Verification,930000,0.018148,1361180.563150,
Mean Verification,940000,0.201172,77294074.749947,
Std Verification,940000,0.014954,1272359.697675,
Mean Verification,950000,0.202765,80058774.518967,
Std Verification,950000,0.013421,1672746.109538,
Mean Verification,960000,0.203697,80369721.102715,
Std Verification,960000,0.010602,1510736.753847,
Mean Verification,970000,0.209510,83275019.216537,
Std Verification,970000,0.026007,2773344.854984,
Mean Verification,980000,0.207641,80928504.157066,
Std Verification,980000,0.018656,1498480.344207,
Mean Verification,990000,0.200912,82622647.333145,
Std Verification,990000,0.014825,1642085.152588,
Mean Verification,1000000,0.225913,83549015.331268,
Std Verification,1000000,0.055467,1621759.855590,
