Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball0,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,100000,0.365722,3038243.422075,
Benchmark,200000,0.258534,4266010.464755,
Benchmark,300000,0.211048,5493777.507435,
Benchmark,400000,0.182741,6721544.550115,
Benchmark,500000,0.163423,7949311.592796,
Benchmark,600000,0.149163,9177078.635476,
Benchmark,700000,0.138081,10404845.678156,
Benchmark,800000,0.129147,11632612.720836,
Benchmark,900000,0.121747,12860379.763517,
Benchmark,1000000,0.115487,14088146.806197,
Projection,1000000,0.115487,14088146.806197,
Projection,1100000,0.110102,15315913.848877,
Projection,1200000,0.105404,16543680.891557,
Projection,1300000,0.101260,17771447.934237,
Projection,1400000,0.097567,18999214.976918,
Projection,1500000,0.094251,20226982.019598,
Projection,1600000,0.091251,21454749.062278,
Projection,1700000,0.088519,22682516.104958,
Projection,1800000,0.086018,23910283.147638,
Projection,1900000,0.083717,25138050.190319,
Projection,2000000,0.081592,26365817.232999,
Projection,2100000,0.079619,27593584.275679,
Projection,2200000,0.077783,28821351.318359,
Projection,2300000,0.076068,30049118.361040,
Projection,2400000,0.074462,31276885.403720,
Projection,2500000,0.072952,32504652.446400,
Projection,2600000,0.071531,33732419.489080,
Projection,2700000,0.070189,34960186.531760,
Projection,2800000,0.068920,36187953.574441,
Projection,2900000,0.067717,37415720.617121,
Projection,3000000,0.066575,38643487.659801,
Projection,3100000,0.065489,39871254.702481,
Projection,3200000,0.064454,41099021.745162,
Projection,3300000,0.063466,42326788.787842,
Projection,3400000,0.062522,43554555.830522,
Projection,3500000,0.061619,44782322.873202,
Projection,3600000,0.060754,46010089.915882,
Projection,3700000,0.059924,47237856.958563,
Projection,3800000,0.059127,48465624.001243,
Projection,3900000,0.058361,49693391.043923,
Projection,4000000,0.057624,50921158.086603,
Projection,4100000,0.056914,52148925.129284,
Projection,4200000,0.056229,53376692.171964,
Projection,4300000,0.055569,54604459.214644,
Projection,4400000,0.054931,55832226.257324,
Projection,4500000,0.054314,57059993.300004,
Projection,4600000,0.053718,58287760.342685,
Projection,4700000,0.053141,59515527.385365,
Projection,4800000,0.052582,60743294.428045,
Projection,4900000,0.052040,61971061.470725,
Projection,5000000,0.051515,63198828.513406,
Projection,5100000,0.051005,64426595.556086,
Projection,5200000,0.050510,65654362.598766,
Projection,5300000,0.050029,66882129.641446,
Projection,5400000,0.049561,68109896.684126,
Projection,5500000,0.049106,69337663.726807,
Projection,5600000,0.048664,70565430.769487,
Projection,5700000,0.048233,71793197.812167,
Projection,5800000,0.047813,73020964.854847,
Projection,5900000,0.047404,74248731.897528,
Projection,6000000,0.047006,75476498.940208,
Projection,6100000,0.046617,76704265.982888,
Projection,6200000,0.046237,77932033.025568,
Projection,6300000,0.045867,79159800.068248,
Projection,6400000,0.045505,80387567.110929,
Projection,6500000,0.045152,81615334.153609,
Projection,6600000,0.044807,82843101.196289,
Projection,6700000,0.044469,84070868.238969,
Projection,6800000,0.044139,85298635.281650,
Projection,6900000,0.043817,86526402.324330,
Projection,7000000,0.043501,87754169.367010,
Projection,7100000,0.043192,88981936.409690,
Projection,7200000,0.042889,90209703.452370,
Projection,7300000,0.042593,91437470.495051,
Projection,7400000,0.042302,92665237.537731,
Projection,7500000,0.042018,93893004.580411,
Projection,7600000,0.041739,95120771.623091,
Projection,7700000,0.041465,96348538.665771,
Projection,7800000,0.041197,97576305.708452,
Projection,7900000,0.040934,98804072.751132,
Projection,8000000,0.040676,100031839.793812,
Projection,8100000,0.040422,101259606.836492,
Projection,8200000,0.040174,102487373.879173,
Projection,8300000,0.039930,103715140.921853,
Projection,8400000,0.039690,104942907.964533,
Projection,8500000,0.039454,106170675.007213,
Projection,8600000,0.039223,107398442.049893,
Projection,8700000,0.038995,108626209.092574,
Projection,8800000,0.038772,109853976.135254,
Projection,8900000,0.038552,111081743.177934,
Projection,9000000,0.038336,112309510.220614,
Projection,9100000,0.038123,113537277.263295,
Projection,9200000,0.037914,114765044.305975,
Projection,9300000,0.037709,115992811.348655,
Projection,9400000,0.037506,117220578.391335,
Projection,9500000,0.037307,118448345.434015,
Projection,9600000,0.037111,119676112.476696,
Projection,9700000,0.036918,120903879.519376,
Projection,9800000,0.036728,122131646.562056,
Projection,9900000,0.036541,123359413.604736,
Projection,10000000,0.036356,124587180.647417,
Projection,10100000,0.036175,125814947.690097,
Projection,10200000,0.035996,127042714.732777,
Projection,10300000,0.035819,128270481.775457,
Projection,10400000,0.035646,129498248.818137,
Projection,10500000,0.035474,130726015.860818,
Projection,10600000,0.035305,131953782.903498,
Projection,10700000,0.035139,133181549.946178,
Projection,10800000,0.034975,134409316.988858,
Projection,10900000,0.034813,135637084.031539,
Projection,11000000,0.034653,136864851.074219,
Projection,11100000,0.034496,138092618.116899,
Projection,11200000,0.034340,139320385.159579,
Projection,11300000,0.034187,140548152.202259,
Projection,11400000,0.034035,141775919.244940,
Projection,11500000,0.033886,143003686.287620,
Projection,11600000,0.033739,144231453.330300,
Projection,11700000,0.033593,145459220.372980,
Projection,11800000,0.033450,146686987.415661,
Projection,11900000,0.033308,147914754.458341,
Projection,12000000,0.033168,149142521.501021,
Projection,12100000,0.033029,150370288.543701,
Projection,12200000,0.032893,151598055.586381,
Projection,12300000,0.032758,152825822.629062,
Projection,12400000,0.032624,154053589.671742,
Projection,12500000,0.032493,155281356.714422,
Projection,12600000,0.032362,156509123.757102,
Projection,12700000,0.032234,157736890.799783,
Projection,12800000,0.032107,158964657.842463,
Projection,12900000,0.031981,160192424.885143,
Projection,13000000,0.031857,161420191.927823,
Projection,13100000,0.031734,162647958.970503,
Projection,13200000,0.031613,163875726.013184,
Projection,13300000,0.031493,165103493.055864,
Projection,13400000,0.031374,166331260.098544,
Projection,13500000,0.031257,167559027.141224,
Projection,13600000,0.031141,168786794.183904,
Projection,13700000,0.031026,170014561.226585,
Projection,13800000,0.030913,171242328.269265,
Projection,13900000,0.030801,172470095.311945,
Projection,14000000,0.030689,173697862.354625,
Projection,14100000,0.030580,174925629.397306,
Projection,14200000,0.030471,176153396.439986,
Projection,14300000,0.030363,177381163.482666,
Projection,14400000,0.030257,178608930.525346,
Projection,14500000,0.030152,179836697.568026,
Projection,14600000,0.030047,181064464.610707,
Projection,14700000,0.029944,182292231.653387,
Projection,14800000,0.029842,183519998.696067,
Projection,14900000,0.029741,184747765.738747,
Projection,15000000,0.029641,185975532.781428,
Projection,15100000,0.029542,187203299.824108,
Projection,15200000,0.029443,188431066.866788,
Projection,15300000,0.029346,189658833.909468,
Projection,15400000,0.029250,190886600.952148,
Projection,15500000,0.029155,192114367.994829,
Projection,15600000,0.029060,193342135.037509,
Projection,15700000,0.028967,194569902.080189,
Projection,15800000,0.028874,195797669.122869,
Projection,15900000,0.028783,197025436.165550,
Projection,16000000,0.028692,198253203.208230,
Projection,16100000,0.028602,199480970.250910,
Projection,16200000,0.028513,200708737.293590,
Projection,16300000,0.028424,201936504.336270,
Projection,16400000,0.028337,203164271.378951,
Projection,16500000,0.028250,204392038.421631,
Projection,16600000,0.028164,205619805.464311,
Projection,16700000,0.028079,206847572.506991,
Projection,16800000,0.027995,208075339.549672,
Projection,16900000,0.027911,209303106.592352,
Projection,17000000,0.027828,210530873.635032,
Projection,17100000,0.027746,211758640.677712,
Projection,17200000,0.027664,212986407.720392,
Projection,17300000,0.027584,214214174.763073,
