Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-mollie,
Type,Simulation Paths,Accuracy,Latency,
Std Verification,340000,0.017899,235345.989486,
Mean Verification,350000,0.374755,214488641.262054,
Std Verification,350000,0.129792,1024003.476705,
Mean Verification,360000,0.333962,220567311.429977,
Std Verification,360000,0.013162,744814.442257,
Mean Verification,370000,0.334409,226297909.045219,
Std Verification,370000,0.018527,212534.405348,
Mean Verification,380000,0.339024,232551003.527641,
Std Verification,380000,0.030239,191085.660227,
Mean Verification,390000,0.345296,253233035.564423,
Std Verification,390000,0.054104,36165436.921953,
Mean Verification,400000,0.324891,245050319.910049,
Std Verification,400000,0.024676,511115.347899,
Mean Verification,410000,0.309229,250834130.811691,
Std Verification,410000,0.014355,219356.704964,
Mean Verification,420000,0.314841,256945528.268814,
Std Verification,420000,0.012769,194911.061925,
Mean Verification,430000,0.312326,263759158.658981,
Std Verification,430000,0.018493,1805103.931602,
Mean Verification,440000,0.314660,269211567.592621,
Std Verification,440000,0.020110,213277.449589,
Mean Verification,450000,0.333494,275214938.068390,
Std Verification,450000,0.050610,232969.626581,
Mean Verification,460000,0.302837,282009917.497635,
Std Verification,460000,0.035256,990902.079807,
Mean Verification,470000,0.310681,287624982.166290,
Std Verification,470000,0.016419,557388.572202,
Mean Verification,480000,0.302195,293713584.899902,
Std Verification,480000,0.023339,220731.121596,
Mean Verification,490000,0.291349,300161955.547333,
Std Verification,490000,0.011578,1088275.952019,
Mean Verification,500000,0.290554,306005740.737915,
Std Verification,500000,0.016605,246236.055144,
Mean Verification,510000,0.300285,312044901.084900,
Std Verification,510000,0.024920,239926.730574,
Mean Verification,520000,0.290182,318083177.471161,
Std Verification,520000,0.020916,249767.495980,
Mean Verification,530000,0.282018,324082651.734352,
Std Verification,530000,0.013228,293802.388604,
Mean Verification,540000,0.279165,330420710.754395,
Std Verification,540000,0.025933,318220.746814,
Mean Verification,550000,0.282957,336454250.240326,
Std Verification,550000,0.021922,236674.147738,
Mean Verification,560000,0.320543,343199613.428116,
Std Verification,560000,0.111255,1731546.122472,
Mean Verification,570000,0.294750,349914995.455742,
Std Verification,570000,0.082184,2982317.396466,
Mean Verification,580000,0.265658,354854507.708549,
Std Verification,580000,0.010865,217224.703417,
Mean Verification,590000,0.269572,361024492.907524,
Std Verification,590000,0.011789,379761.353643,
Mean Verification,600000,0.294866,368064595.651627,
Std Verification,600000,0.098112,2985537.090956,
Mean Verification,610000,0.275198,373728586.840630,
Std Verification,610000,0.028505,1929773.491237,
Mean Verification,620000,0.261983,379263911.175728,
Std Verification,620000,0.013543,254727.365825,
Mean Verification,630000,0.272359,385260089.874268,
Std Verification,630000,0.025566,322691.362879,
Mean Verification,640000,0.262304,391797913.551331,
Std Verification,640000,0.025002,653205.437248,
Mean Verification,650000,0.262152,397454907.536507,
Std Verification,650000,0.022916,279988.204281,
Mean Verification,660000,0.295371,404251223.278046,
Std Verification,660000,0.065387,1772515.559001,
