Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball1,
Type,Simulation Paths,Accuracy,Latency,
Std Verification,3100000,0.000058,28699.894152,
Mean Verification,3200000,0.064411,106525396.633148,
Std Verification,3200000,0.000668,25432.247188,
Mean Verification,3300000,0.064115,109735011.768341,
Std Verification,3300000,0.001065,24152.840652,
Mean Verification,3400000,0.062449,112968393.421173,
Std Verification,3400000,0.000193,25582.136012,
Mean Verification,3500000,0.061507,116194696.640968,
Std Verification,3500000,0.000063,45283.330400,
Mean Verification,3600000,0.060402,119382403.469086,
Std Verification,3600000,0.000318,73571.029885,
Mean Verification,3700000,0.059795,122656128.644943,
Std Verification,3700000,0.000152,42253.027533,
Mean Verification,3800000,0.060174,125849728.870392,
Std Verification,3800000,0.001591,42332.936069,
Mean Verification,3900000,0.058793,130123126.363754,
Std Verification,3900000,0.000706,44108.351968,
Mean Verification,4000000,0.057869,133352860.617638,
Std Verification,4000000,0.000776,37780.720590,
Mean Verification,4100000,0.056996,136581882.786751,
Std Verification,4100000,0.000501,26485.261089,
Mean Verification,4200000,0.055924,139763412.261009,
Std Verification,4200000,0.000364,26685.156955,
Mean Verification,4300000,0.055162,143052045.726776,
Std Verification,4300000,0.000115,49600.621558,
Mean Verification,4400000,0.055736,146212880.039215,
Std Verification,4400000,0.001296,70727.340093,
Mean Verification,4500000,0.054595,149447016.215324,
Std Verification,4500000,0.000741,38657.519751,
Mean Verification,4600000,0.053757,152630083.465576,
Std Verification,4600000,0.000434,45702.412056,
Mean Verification,4700000,0.053414,155845174.765587,
Std Verification,4700000,0.000684,30742.888989,
Mean Verification,4800000,0.052275,159094535.326958,
Std Verification,4800000,0.000345,61127.739494,
Mean Verification,4900000,0.051943,162333252.310753,
Std Verification,4900000,0.000100,67288.833810,
Mean Verification,5000000,0.051671,165482156.276703,
Std Verification,5000000,0.000541,38942.704344,
Mean Verification,5100000,0.051138,168670439.863205,
Std Verification,5100000,0.000501,50162.862944,
Mean Verification,5200000,0.050848,171914002.966881,
Std Verification,5200000,0.000602,53846.476841,
Mean Verification,5300000,0.049668,175163737.583160,
Std Verification,5300000,0.000148,63677.475798,
Mean Verification,5400000,0.049296,178401083.707809,
Std Verification,5400000,0.000162,80475.005796,
Mean Verification,5500000,0.048657,181544288.158417,
Std Verification,5500000,0.000043,55882.917938,
Mean Verification,5600000,0.048243,184773682.117462,
Std Verification,5600000,0.000244,60246.642209,
