Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball0,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Benchmark,linear,100000,0.372671,2965274.970654,
Benchmark,linear,200000,0.260213,4212476.574638,
Benchmark,linear,300000,0.211321,5459678.178621,
Benchmark,linear,400000,0.182446,6706879.782604,
Benchmark,linear,500000,0.162857,7954081.386587,
Benchmark,linear,600000,0.148457,9201282.990571,
Benchmark,linear,700000,0.137302,10448484.594554,
Benchmark,linear,800000,0.128332,11695686.198537,
Benchmark,linear,900000,0.120917,12942887.802521,
Benchmark,linear,1000000,0.114655,14190089.406504,
Benchmark,linear,1100000,0.109276,15437291.010487,
Benchmark,linear,1200000,0.104590,16684492.614471,
Benchmark,linear,1300000,0.100461,17931694.218454,
Benchmark,linear,1400000,0.096785,19178895.822437,
Benchmark,linear,1500000,0.093487,20426097.426421,
Benchmark,linear,1600000,0.090505,21673299.030404,
Benchmark,linear,1700000,0.087793,22920500.634387,
Benchmark,linear,1800000,0.085311,24167702.238371,
Benchmark,linear,1900000,0.083029,25414903.842354,
Benchmark,linear,2000000,0.080922,26662105.446337,
Benchmark,linear,2100000,0.078969,27909307.050321,
Benchmark,linear,2200000,0.077150,29156508.654304,
Benchmark,linear,2300000,0.075453,30403710.258287,
Benchmark,linear,2400000,0.073864,31650911.862270,
Benchmark,linear,2500000,0.072371,32898113.466254,
Benchmark,linear,2600000,0.070966,34145315.070237,
Benchmark,linear,2700000,0.069640,35392516.674220,
Benchmark,linear,2800000,0.068386,36639718.278204,
Benchmark,linear,2900000,0.067198,37886919.882187,
Benchmark,linear,3000000,0.066071,39134121.486170,
Benchmark,linear,3100000,0.064998,40381323.090154,
Benchmark,linear,3200000,0.063977,41628524.694137,
Benchmark,linear,3300000,0.063003,42875726.298120,
Benchmark,linear,3400000,0.062072,44122927.902104,
Benchmark,linear,3500000,0.061181,45370129.506087,
Benchmark,linear,3600000,0.060328,46617331.110070,
Benchmark,linear,3700000,0.059511,47864532.714054,
Benchmark,linear,3800000,0.058725,49111734.318037,
Benchmark,linear,3900000,0.057971,50358935.922020,
Benchmark,linear,4000000,0.057245,51606137.526004,
Benchmark,linear,4100000,0.056545,52853339.129987,
Benchmark,linear,4200000,0.055871,54100540.733970,
Benchmark,linear,4300000,0.055221,55347742.337953,
