Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball1,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Projection,linear,12300000,0.032525,427734592.655602,
Projection,linear,12400000,0.032393,431194314.377866,
Projection,linear,12500000,0.032263,434654036.100129,
Projection,linear,12600000,0.032134,438113757.822393,
Projection,linear,12700000,0.032007,441573479.544656,
Projection,linear,12800000,0.031882,445033201.266919,
Projection,linear,12900000,0.031757,448492922.989182,
Projection,linear,13000000,0.031635,451952644.711446,
Projection,linear,13100000,0.031513,455412366.433709,
Projection,linear,13200000,0.031394,458872088.155973,
Projection,linear,13300000,0.031275,462331809.878236,
Projection,linear,13400000,0.031158,465791531.600499,
Projection,linear,13500000,0.031042,469251253.322763,
Projection,linear,13600000,0.030927,472710975.045026,
Projection,linear,13700000,0.030814,476170696.767289,
Projection,linear,13800000,0.030702,479630418.489553,
Projection,linear,13900000,0.030591,483090140.211816,
Projection,linear,14000000,0.030481,486549861.934079,
Projection,linear,14100000,0.030372,490009583.656343,
Projection,linear,14200000,0.030265,493469305.378606,
Projection,linear,14300000,0.030159,496929027.100870,
Projection,linear,14400000,0.030053,500388748.823133,
Projection,linear,14500000,0.029949,503848470.545396,
Projection,linear,14600000,0.029846,507308192.267660,
Projection,linear,14700000,0.029744,510767913.989923,
Projection,linear,14800000,0.029643,514227635.712186,
Projection,linear,14900000,0.029543,517687357.434450,
Projection,linear,15000000,0.029444,521147079.156713,
Projection,linear,15100000,0.029346,524606800.878976,
Projection,linear,15200000,0.029250,528066522.601240,
Projection,linear,15300000,0.029153,531526244.323503,
Projection,linear,15400000,0.029058,534985966.045766,
Projection,linear,15500000,0.028964,538445687.768030,
Projection,linear,15600000,0.028871,541905409.490293,
Projection,linear,15700000,0.028779,545365131.212556,
Projection,linear,15800000,0.028687,548824852.934820,
Projection,linear,15900000,0.028596,552284574.657083,
Projection,linear,16000000,0.028507,555744296.379346,
Projection,linear,16100000,0.028418,559204018.101610,
Projection,linear,16200000,0.028330,562663739.823873,
Projection,linear,16300000,0.028242,566123461.546136,
Projection,linear,16400000,0.028156,569583183.268400,
Projection,linear,16500000,0.028070,573042904.990663,
Projection,linear,16600000,0.027985,576502626.712927,
Projection,linear,16700000,0.027901,579962348.435190,
Projection,linear,16800000,0.027818,583422070.157453,
Projection,linear,16900000,0.027735,586881791.879717,
Projection,linear,17000000,0.027653,590341513.601980,
Projection,linear,17100000,0.027572,593801235.324243,
Projection,linear,17200000,0.027491,597260957.046507,
Projection,linear,17300000,0.027411,600720678.768770,
Projection,linear,17400000,0.027332,604180400.491033,
Projection,linear,17500000,0.027254,607640122.213297,
Projection,linear,17600000,0.027176,611099843.935560,
Projection,linear,17700000,0.027099,614559565.657823,
Projection,linear,17800000,0.027022,618019287.380087,
Projection,linear,17900000,0.026947,621479009.102350,
Projection,linear,18000000,0.026871,624938730.824613,
Projection,linear,18100000,0.026797,628398452.546877,
Projection,linear,18200000,0.026723,631858174.269140,
Projection,linear,18300000,0.026650,635317895.991403,
Projection,linear,18400000,0.026577,638777617.713667,
Projection,linear,18500000,0.026505,642237339.435930,
Projection,linear,18600000,0.026433,645697061.158193,
Projection,linear,18700000,0.026362,649156782.880457,
Projection,linear,18800000,0.026292,652616504.602720,
Projection,linear,18900000,0.026222,656076226.324984,
Projection,linear,19000000,0.026152,659535948.047247,
Projection,linear,19100000,0.026084,662995669.769510,
Projection,linear,19200000,0.026015,666455391.491774,
Projection,linear,19300000,0.025948,669915113.214037,
Projection,linear,19400000,0.025880,673374834.936300,
Projection,linear,19500000,0.025814,676834556.658564,
Projection,linear,19600000,0.025748,680294278.380827,
Projection,linear,19700000,0.025682,683754000.103090,
Projection,linear,19800000,0.025617,687213721.825354,
Projection,linear,19900000,0.025552,690673443.547617,
Projection,linear,20000000,0.025488,694133165.269880,
Projection,linear,20100000,0.025424,697592886.992144,
Projection,linear,20200000,0.025361,701052608.714407,
Projection,linear,20300000,0.025298,704512330.436670,
Projection,linear,20400000,0.025236,707972052.158934,
Projection,linear,20500000,0.025174,711431773.881197,
Projection,linear,20600000,0.025113,714891495.603461,
Projection,linear,20700000,0.025052,718351217.325724,
Projection,linear,20800000,0.024991,721810939.047987,
Projection,linear,20900000,0.024931,725270660.770251,
Projection,linear,21000000,0.024872,728730382.492514,
Projection,linear,21100000,0.024812,732190104.214777,
Projection,linear,21200000,0.024754,735649825.937041,
Projection,linear,21300000,0.024695,739109547.659304,
Projection,linear,21400000,0.024637,742569269.381567,
Projection,linear,21500000,0.024580,746028991.103831,
Projection,linear,21600000,0.024522,749488712.826094,
Projection,linear,21700000,0.024466,752948434.548357,
Projection,linear,21800000,0.024409,756408156.270621,
Projection,linear,21900000,0.024353,759867877.992884,
Projection,linear,22000000,0.024298,763327599.715147,
Projection,linear,22100000,0.024242,766787321.437411,
Projection,linear,22200000,0.024188,770247043.159674,
Projection,linear,22300000,0.024133,773706764.881937,
Projection,linear,22400000,0.024079,777166486.604201,
Projection,linear,22500000,0.024025,780626208.326464,
Projection,linear,22600000,0.023972,784085930.048727,
Projection,linear,22700000,0.023919,787545651.770991,
Projection,linear,22800000,0.023866,791005373.493254,
Projection,linear,22900000,0.023814,794465095.215518,
Projection,linear,23000000,0.023762,797924816.937781,
Projection,linear,23100000,0.023710,801384538.660044,
