Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-benjamin.ee.ic.ac.uk,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Projection,linear,12200000,0.061885,976052978.048070,
Projection,linear,12300000,0.061643,984023016.924870,
Projection,linear,12400000,0.061405,991993055.801670,
Projection,linear,12500000,0.061169,999963094.678470,
Projection,linear,12600000,0.060936,1007933133.555270,
Projection,linear,12700000,0.060706,1015903172.432070,
Projection,linear,12800000,0.060479,1023873211.308870,
Projection,linear,12900000,0.060254,1031843250.185670,
Projection,linear,13000000,0.060032,1039813289.062470,
Projection,linear,13100000,0.059812,1047783327.939270,
Projection,linear,13200000,0.059595,1055753366.816070,
Projection,linear,13300000,0.059380,1063723405.692870,
Projection,linear,13400000,0.059168,1071693444.569670,
Projection,linear,13500000,0.058958,1079663483.446470,
Projection,linear,13600000,0.058751,1087633522.323270,
Projection,linear,13700000,0.058545,1095603561.200070,
Projection,linear,13800000,0.058342,1103573600.076870,
Projection,linear,13900000,0.058141,1111543638.953671,
Projection,linear,14000000,0.057942,1119513677.830470,
Projection,linear,14100000,0.057746,1127483716.707270,
Projection,linear,14200000,0.057551,1135453755.584070,
Projection,linear,14300000,0.057359,1143423794.460871,
Projection,linear,14400000,0.057168,1151393833.337671,
Projection,linear,14500000,0.056979,1159363872.214471,
Projection,linear,14600000,0.056793,1167333911.091271,
Projection,linear,14700000,0.056608,1175303949.968071,
Projection,linear,14800000,0.056425,1183273988.844871,
Projection,linear,14900000,0.056244,1191244027.721671,
Projection,linear,15000000,0.056065,1199214066.598471,
Projection,linear,15100000,0.055887,1207184105.475271,
Projection,linear,15200000,0.055712,1215154144.352071,
Projection,linear,15300000,0.055538,1223124183.228871,
Projection,linear,15400000,0.055365,1231094222.105671,
Projection,linear,15500000,0.055195,1239064260.982471,
Projection,linear,15600000,0.055026,1247034299.859271,
Projection,linear,15700000,0.054858,1255004338.736071,
Projection,linear,15800000,0.054692,1262974377.612871,
